model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 8 s
model is updating
5000 updates took 41 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	epsilon_R[12,1]	1.948	0.5469	0.935	1.931	3.072	10000
	epsilon_R[12,2]	0.1147	0.793	-1.404	0.1084	1.68	10000
	epsilon_R[13,1]	-0.416	0.6925	-1.776	-0.4118	0.9524	10000
	epsilon_R[13,2]	-0.4017	0.9056	-2.158	-0.3972	1.419	10000
	epsilon_R[14,1]	-0.6497	0.5979	-1.839	-0.6265	0.4709	10000
	epsilon_R[14,2]	-0.5433	0.8167	-2.186	-0.5489	1.009	10000
	epsilon_R[15,1]	-0.2162	0.6346	-1.479	-0.206	1.027	10000
	epsilon_R[15,2]	0.5088	0.8322	-1.097	0.4916	2.158	10000
	epsilon_R[16,1]	0.2887	0.7459	-1.177	0.2964	1.756	10000
	epsilon_R[16,2]	0.6283	0.8742	-1.094	0.6298	2.309	10000
	epsilon_R[17,1]	1.426	0.4998	0.5199	1.408	2.477	10000
	epsilon_R[17,2]	-0.1815	0.8364	-1.818	-0.1758	1.395	10000
	epsilon_R[18,1]	-0.2557	0.6271	-1.526	-0.2389	0.9255	10000
	epsilon_R[18,2]	-0.4762	0.7478	-1.954	-0.4733	0.9618	10000
	epsilon_R[19,1]	-0.06263	0.7362	-1.517	-0.05293	1.375	10000
	epsilon_R[19,2]	-0.121	0.8654	-1.797	-0.0977	1.52	10000
	epsilon_R[20,1]	0.9853	0.5396	-0.05889	0.9876	2.056	10000
	epsilon_R[20,2]	0.4885	0.8255	-1.073	0.4801	2.085	10000
	epsilon_R[21,1]	-0.1434	0.5494	-1.226	-0.1417	0.9257	10000
	epsilon_R[21,2]	0.1196	0.7951	-1.444	0.1229	1.656	10000
	epsilon_R[22,1]	0.01471	0.5488	-1.07	0.02652	1.095	10000
	epsilon_R[22,2]	-0.2527	0.7664	-1.779	-0.249	1.234	10000
	epsilon_R[23,1]	0.08804	0.7013	-1.288	0.09063	1.452	10000
	epsilon_R[23,2]	0.3168	0.8867	-1.448	0.3285	2.066	10000
	epsilon_R[24,1]	0.2698	0.5326	-0.7697	0.2704	1.294	10000
	epsilon_R[24,2]	0.1503	0.787	-1.408	0.1474	1.704	10000
	lambda_tot[1]	597.9	85.75	453.9	615.9	781.9	10000
	lambda_tot[2]	841.0	53.37	745.2	837.5	953.2	10000
	lambda_tot[3]	805.9	49.38	715.3	804.2	904.3	10000
	lambda_tot[4]	490.1	37.78	420.8	487.8	567.7	10000
	lambda_tot[5]	671.4	41.49	596.7	666.8	754.5	10000
	lambda_tot[6]	313.0	29.26	260.4	310.9	374.1	10000
	lambda_tot[7]	363.2	51.29	279.6	355.0	479.2	10000
	lambda_tot[8]	332.4	25.63	286.3	332.4	381.6	10000
	lambda_tot[9]	626.0	43.18	548.8	626.0	718.3	10000
	lambda_tot[10]	299.2	27.4	249.0	297.6	359.3	10000
	lambda_tot[11]	1241.0	55.45	1135.0	1241.0	1353.0	10000
	lambda_tot[12]	558.3	33.96	495.7	556.3	627.6	10000
	lambda_tot[13]	983.2	51.64	889.1	982.3	1091.0	10000
	lambda_tot[14]	570.5	40.44	496.9	566.7	657.6	10000
	lambda_tot[15]	405.3	32.82	345.0	402.4	473.6	10000
	lambda_tot[16]	334.5	31.37	277.6	332.0	404.2	10000
	lambda_tot[17]	981.4	51.63	885.8	975.2	1094.0	10000
	lambda_tot[18]	533.5	36.73	467.6	531.6	611.8	10000
	lambda_tot[19]	490.1	45.56	407.0	486.6	592.9	10000
	lambda_tot[20]	736.5	46.14	650.1	735.0	829.5	10000
	lambda_tot[21]	863.2	56.59	764.0	861.4	979.4	10000
	lambda_tot[22]	683.3	42.92	608.0	681.4	766.0	10000
	lambda_tot[23]	763.2	44.9	680.9	763.5	857.6	10000
	lambda_tot[24]	1119.0	107.9	955.4	1104.0	1395.0	10000
	lambda_tot0	612.5	217.9	281.4	575.0	1097.0	10000
	logit_effort_R[1]	0.2372	0.0747	0.09376	0.237	0.3851	10000
	logit_effort_R[2]	0.3086	0.1319	0.06485	0.305	0.5637	10000
	logit_flow_MP[1]	-0.1528	0.09445	-0.3362	-0.1537	0.03105	10000
	logit_flow_MP[2]	-0.264	0.1146	-0.4923	-0.2642	-0.04043	10000
	logit_flow_R[1]	-0.3129	0.07245	-0.4574	-0.3123	-0.1674	10000
	logit_flow_R[2]	-0.1349	0.1216	-0.3669	-0.1368	0.1027	10000
	logit_int_MP[1]	0.779	0.09685	0.592	0.7787	0.9644	10000
	logit_int_MP[2]	-0.1944	0.1244	-0.4409	-0.1912	0.04091	10000
	logit_int_R[1]	-2.046	0.06922	-2.182	-2.045	-1.913	10000
	logit_int_R[2]	-1.882	0.1186	-2.114	-1.88	-1.671	10000
	mupi_D[1,1]	0.0109	0.006381	-0.004799	0.009291	0.0306	10000
	mupi_D[1,2]	0.008733	0.005799	-0.006486	0.007252	0.02749	10000
	mupi_D[2,1]	0.1017	0.06371	0.02148	0.08682	0.2598	10000
	mupi_D[2,2]	0.053	0.03614	0.008784	0.04354	0.1422	10000
	mupi_F[1,1]	0.06371	0.007458	0.04616	0.06317	0.08331	10000
	mupi_F[1,2]	0.09178	0.01206	0.06673	0.09109	0.1189	10000
	mupi_F[2,1]	0.08139	0.0136	0.05497	0.08063	0.1125	10000
	mupi_F[2,2]	0.1659	0.02391	0.121	0.166	0.2131	10000
	mupi_oF	0.6432	0.05972	0.5171	0.6449	0.7542	10000
	n_1SW[1]	504.7	82.11	370.7	494.5	698.8	10000
	n_1SW[2]	756.2	43.16	683.8	749.2	830.4	10000
	n_1SW[3]	733.9	38.6	667.8	729.2	802.8	10000
