"annee"	"cap_lf"	"age_riv"	"nb"
2006	206		1
2006	208		1
2006	209		1
2006	212		1
2006	213		1
2006	215		1
2006	218		2
2006	220		3
2006	222		2
2006	233		1
2006			10
2007	165	.	1
2007	168	.	1
2007	170	.	1
2007	172	.	1
2007	179	.	1
2007	196	.	1
2007	138	"1"	1
2007	142	"1"	1
2007	150	"1"	1
2007	158	"1"	1
2007	160	"1"	1
2007	161	"1"	3
2007	162	"1"	1
2007	163	"1"	5
2007	164	"1"	3
2007	165	"1"	1
2007	166	"1"	1
2007	167	"1"	1
2007	168	"1"	5
2007	170	"1"	4
2007	171	"1"	2
2007	172	"1"	6
2007	173	"1"	3
2007	175	"1"	1
2007	176	"1"	1
2007	177	"1"	3
2007	180	"1"	2
2007	181	"1"	1
2007	183	"1"	1
2007	187	"1"	1
2007	195	"1"	1
2007	196	"1"	1
2007	201	"1"	1
2007	174	"2"	1
2007	183	"2"	2
2007	190	"2"	1
2007	198	"2"	2
2007	199	"2"	1
2007	208	"2"	1
2007	210	"2"	1
2007	220	"2"	1
2007	251	"2"	1
2007	118		1
2007	119		1
2007	120		3
2007	122		1
2007	123		1
2007	124		5
2007	125		4
2007	126		2
2007	127		2
2007	128		4
2007	129		2
2007	130		10
2007	131		4
2007	132		11
2007	133		17
2007	134		17
2007	135		46
2007	136		14
2007	137		19
2007	138		30
2007	139		8
2007	140		72
2007	141		18
2007	142		50
2007	143		55
2007	144		38
2007	145		99
2007	146		53
2007	147		80
2007	148		114
2007	149		28
2007	150		110
2007	151		50
2007	152		86
2007	153		88
2007	154		53
2007	155		104
2007	156		43
2007	157		74
2007	158		63
2007	159		13
2007	160		71
2007	161		22
2007	162		52
2007	163		32
2007	164		20
2007	165		48
2007	166		12
2007	167		24
2007	168		32
2007	169		9
2007	170		13
2007	171		4
2007	172		13
2007	173		4
2007	174		1
2007	175		12
2007	176		3
2007	177		1
2007	178		1
2007	179		1
2007	180		3
2007	182		2
2007	183		5
2007	184		2
2007	185		3
2007	186		1
2007	187		1
2007	188		3
2007	190		1
2007	192		1
2007	195		2
2007	202		1
2007	203		1
2007	205		1
2007	213		1
2007	215		1
2007	217		1
2007			41
2008	163	.	1
2008	168	.	1
2008	155	"1"	1
2008	161	"1"	1
2008	162	"1"	1
2008	163	"1"	1
2008	165	"1"	1
2008	166	"1"	4
2008	168	"1"	1
2008	170	"1"	1
2008	171	"1"	1
2008	172	"1"	2
2008	173	"1"	1
2008	174	"1"	4
2008	175	"1"	1
2008	176	"1"	1
2008	177	"1"	1
2008	178	"1"	2
2008	182	"1"	2
2008	185	"1"	1
2008	187	"1"	1
2008	188	"1"	1
2008	170	"2"	1
2008	175	"2"	1
2008	179	"2"	1
2008	186	"2"	1
2008	187	"2"	1
2008	188	"2"	1
2008	196	"2"	1
2008	199	"2"	1
2008	200	"2"	2
2008	203	"2"	1
2008	213	"2"	1
2008	215	"2"	1
2008	105		1
2008	114		1
2008	117		1
2008	120		1
2008	123		1
2008	124		2
2008	125		11
2008	126		2
2008	127		2
2008	128		6
2008	129		2
2008	130		16
2008	131		8
2008	132		13
2008	133		12
2008	134		16
2008	135		35
2008	136		15
2008	137		20
2008	138		39
2008	139		17
2008	140		72
2008	141		23
2008	142		52
2008	143		59
2008	144		45
2008	145		131
2008	146		49
2008	147		65
2008	148		88
2008	149		39
2008	150		123
