"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%"
"dRR_Oir[8,10]";22.3715818;4.21842523233227;15.04;19.38;22.04;25;31.52
"dRR_Oir[8,11]";52.3235688;7.38749563583641;39.13;47.14;51.9;56.98;68.1402499821158
"dRR_Oir[8,12]";0.8030026996;0.54963197431791;0.153897499207751;0.4138;0.6673;1.045;2.22902499453392
"dRR_Oir[8,14]";6.61178762;2.12195145790721;3.23397499623068;5.075;6.349;7.8542499880643;11.46
"dRR_Oir[8,15]";47.1995688;7.58099794490563;34.2397499643988;41.8474997759545;46.58;51.81;63.93
"dRR_Oir[8,16]";21.45546192;5.00966621733445;13.24;17.93;20.93;24.4;32.8
"dRR_Oir[8,17]";37.9745144;7.27982641177964;25.93;32.87;37.18;42.16;54.5502499776608
"dRR_Oir[8,18]";40.3612038;6.06611412682597;29.62;36.1;39.97;44.2024997879239;53.31
"dRR_Oir[8,19]";27.0794382;5.05434093642552;18.36;23.49;26.7;30.2;38.09
"dRR_Oir[8,20]";31.394951;5.49686210700791;21.93;27.53;30.95;34.79;43.45
"dRR_Oir[8,21]";24.4257853;5.32981951620554;15.61;20.69;23.8749994764398;27.57;36.37
"dRR_Oir[8,22]";37.9424898;6.26426649940689;27.05;33.53;37.47;41.8424997759634;51.6002499763839
"dRR_Oir[9,11]";76.5560726;20.5764668266753;44.1197499723724;62.21;73.94;87.92;123.7
"dRR_Oir[9,12]";0.88998706024;1.05453897238604;0.0554497499780181;0.2551;0.5484;1.114;3.80112491990953
"dRR_Oir[9,13]";9.235150454;4.39878158347433;2.98797499592029;6.027;8.468;11.61;19.76
"dRR_Oir[9,14]";15.02694046;6.09989969698529;5.928;10.61;14.08;18.4024994906506;29.45
"dRR_Oir[9,15]";20.65096968;7.66635374132934;8.96097499863984;15.13;19.55;24.95;38.66
"dRR_Oir[9,16]";2.4138060462;1.7415987067185;0.440197499723096;1.198;1.968;3.125;6.92004999295655
"dRR_Oir[9,17]";2.7871916664;1.94369352209559;0.529797499769932;1.419;2.302;3.618;7.867
"dRR_Oir[9,18]";2.8793116464;1.97343809738577;0.564897499784229;1.494;2.404;3.728;8.0090249984784
"dRR_Oir[9,19]";6.524893632;3.4957765893028;1.841;4.021;5.82849997855366;8.27;15.13
"dRR_Oir[9,20]";6.119524474;3.34985772110092;1.664;3.711;5.444;7.77924998794923;14.5
"dRR_Oir[9,21]";14.77572574;6.14059130712291;5.698;10.37;13.77;18.12;29.43
"dRR_Oir[9,22]";12.673964222;5.4881739074622;4.665;8.7187499892469;11.78;15.65;25.95
"dRR_Oir[10,13]";4.30024012;1.20782611505997;2.332;3.439;4.174;5.011;7.025
"dRR_Oir[10,14]";4.353252318;1.19879489075639;2.389;3.506;4.223;5.052;7.057
"dRR_Oir[10,15]";4.148970118;1.28923508594569;2.125;3.242;3.992;4.869;7.117
"dRR_Oir[10,16]";4.98550826;1.32740687944286;2.796;4.044;4.845;5.775;7.96202499846942
"dRR_Oir[10,17]";3.525750026;1.08402253498233;1.787;2.754;3.398;4.159;5.989
"dRR_Oir[10,18]";12.75356954;2.37089075071443;8.73397499860449;11.09;12.53;14.17;18.0002499323164
"dRR_Oir[10,19]";7.67221668;1.72698071407225;4.78;6.458;7.505;8.701;11.52
"dRR_Oir[10,20]";5.93288274;1.48157274705841;3.49;4.887;5.774;6.802;9.27312496715418
"dRR_Oir[10,21]";9.18348342;2.01552060468537;5.846;7.757;8.982;10.37;13.66
"dRR_Oir[10,22]";8.39900716;1.88620809696291;5.293;7.08;8.205;9.491;12.6202499034775
"dRR_Oir[11,13]";5.83859054;1.5116609697218;3.36;4.77974998038464;5.672;6.716;9.30002499868961
"dRR_Oir[11,14]";17.2221497;3.11528060807293;12.07;15.06;16.9;19.02;24.25
"dRR_Oir[11,15]";11.99102688;2.44923666803406;7.899;10.27;11.74;13.44;17.51
"dRR_Oir[11,16]";9.09162782;1.99678228755469;5.765;7.681;8.889;10.28;13.56
"dRR_Oir[11,17]";3.401407456;1.12578802626729;1.62597499250158;2.601;3.261;4.048;5.98
"dRR_Oir[11,18]";21.437567;3.45935747351926;15.6;19.02;21.13;23.48;29.03
"dRR_Oir[11,19]";9.16125564;2.05986345772662;5.76897499788717;7.718;8.961;10.36;13.84
"dRR_Oir[11,20]";8.15454418;1.89440136145921;5.03094999030754;6.818;7.958;9.269;12.32
"dRR_Oir[11,21]";9.91411236;2.15393291066247;6.357;8.399;9.699;11.17;14.77
"dRR_Oir[11,22]";14.5586765;2.8429696604673;9.938;12.57;14.27;16.19;20.8602499415932
"dRR_Oir[12,10]";8.50310476;2.50232114288462;4.436;6.715;8.225;9.976;14.14
"dRR_Oir[12,11]";22.03904918;4.64456256742335;14.35;18.77;21.58;24.75;32.46
"dRR_Oir[12,12]";0.212154801436;0.238851336964762;0.0134997499096782;0.06385;0.1341;0.269924996527242;0.870102499859941
"dRR_Oir[12,13]";21.63469292;4.58954394801214;14.0497499132156;18.42;21.18;24.31;31.8802499617786
"dRR_Oir[12,14]";42.528152;7.41809334526559;30.35;37.36;41.74;46.76;59.4002499794846
"dRR_Oir[13,1]";2.690420724;1.39614808181218;0.748597499837182;1.676;2.431;3.428;6.082
"dRR_Oir[13,2]";6.69735386;2.36825265351814;2.94897499586632;4.989;6.401;8.072;12.13
"dRR_Oir[13,3]";9.30659878;2.84691851894352;4.66092497645698;7.27074998710528;8.997;11;15.78
"dRR_Oir[13,5]";7.3327225;2.43021890708892;3.398;5.574;7.064;8.773;12.81
"dRR_Oir[13,6]";1.1915346468;0.903643375165206;0.175397499304899;0.5555;0.95564999869199;1.563;3.548
"dRR_Oir[13,7]";11.16105656;3.17314475862576;5.88;8.895;10.84;13.1;18.16
"dRR_Oir[13,8]";1.4682479172;0.985263720420734;0.284597499571668;0.7735;1.231;1.91;4.002
"dRR_Oir[13,9]";17.38830184;3.93654190422202;10.6;14.6;17.07;19.84;25.96
"dRR_Oir[13,10]";0.6840115742;0.537649614300078;0.09821;0.3106;0.5382;0.8905;2.13
"dRR_Oir[13,11]";2.047312108;1.04139443252433;0.6109;1.29374992751755;1.842;2.596;4.572
"dRR_Oir[13,12]";0.119433642772;0.133931721315929;0.009215;0.03833;0.07697;0.1502;0.484202499748331
"dRR_Oir[13,13]";7.8899637;2.57015371252858;3.733;6.028;7.603;9.445;13.68
"dRR_Oir[13,14]";22.57455306;4.52997845529984;14.59;19.35;22.24;25.43;32.34
"dRR_Oir[13,15]";20.21642398;4.16782361940802;12.87;17.27;19.88;22.85;29.17
"dRR_Oir[13,16]";4.401113736;1.79888806823931;1.698;3.08574996961512;4.153;5.42;8.61102499858477
"dRR_Oir[13,17]";10.9407328;3.01817857285518;5.84797499791572;8.80774998935556;10.65;12.76;17.66
"dRR_Oir[13,18]";1.1557842592;0.767061132343457;0.232497499475658;0.609;0.9739;1.493;3.14002499611945
"dRR_Oir[13,19]";18.43583226;4.11176523337483;11.42;15.53;18.12;20.95;27.48
"dRR_Oir[13,20]";37.5656032;6.17037790215631;26.7697499544621;33.25;37.1;41.39;50.96
"dRR_Oir[13,21]";51.8960902;7.05171713994233;38.89;47;51.62;56.51;66.43
"dRR_Oir[13,22]";29.2188114;5.1905306836012;20.0497499391945;25.6;28.84;32.48;40.38
