"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"n_1SW[37]","257.3581","39.6032577553996","203","229","250","278","355","1.00120872608818","6400"
"n_MSW[1]","44.851975","12.1264561959738","30","36","42","50","76","1.0011888157632","7000"
"n_MSW[2]","32.2608","9.18811155215518","20","26","30","37","55","1.00097613338666","40000"
"n_MSW[3]","36.6046","10.2551225262525","23","29","35","42","62","1.00099575925998","40000"
"n_MSW[4]","42.1971","11.207503816352","28","34","40","47","70","1.00097547275216","40000"
"n_MSW[5]","31.45815","12.7253348455423","14","22","29","38","63","1.00118140176445","7200"
"n_MSW[6]","42.59105","15.3806509617799","23","32","40","50","81","1.00097358769818","40000"
"n_MSW[7]","51.12335","13.0297018041752","35","42","48","57","84","1.00097533223008","40000"
"n_MSW[8]","28.824725","7.45339805075092","19","23","27","32","48","1.00098444472943","40000"
"n_MSW[9]","45.156125","8.36723671534583","35","39","43","49","67","1.00097852285765","40000"
"n_MSW[10]","29.062575","10.7439864668802","17","22","26","33","57","1.00099103698094","40000"
"n_MSW[11]","18.230525","8.47840965689514","8","12","16","22","39","1.00110436396591","11000"
"n_MSW[12]","8.0397","5.68460480405582","1","4","7","11","23","1.00097745638001","40000"
"n_MSW[13]","28.697125","8.05235137977992","19","23","27","32","50","1.00100273105719","40000"
"n_MSW[14]","14.330325","4.02237055490876","10","12","13","16","25","1.00102524162546","29000"
"n_MSW[15]","14.941125","3.69995283424659","11","12","14","16","25","1.00098550410298","40000"
"n_MSW[16]","59.0597","21.8489443753985","29","43","55","70","113","1.00101887138376","33000"
"n_MSW[17]","14.756925","9.52914265075125","5","9","12","18","39","1.00101655379244","35000"
"n_MSW[18]","21.2696","18.2359844707721","2","9","16","28","70","1.00098925596595","40000"
"n_MSW[19]","33.6732","10.5958297716703","20","26","31","39","60","1.00106558427048","16000"
"n_MSW[20]","22.705825","8.93572225663271","11","16","21","27","45","1.00097381596251","40000"
"n_MSW[21]","15.21975","4.30957355756996","10","12","14","17","26","1.0009734918847","40000"
"n_MSW[22]","51.077225","10.6354872544281","37","44","49","56","77","1.00101446353672","37000"
"n_MSW[23]","123.4975","23.6449174412393","90","107","119","136","181","1.00098119742299","40000"
"n_MSW[24]","22.243075","7.25291008230431","13","17","21","25","41","1.00097759937575","40000"
"n_MSW[25]","14.3989","8.12967287653857","5","9","12","18","35","1.00110448768206","11000"
"n_MSW[26]","49.1338","10.2472787962497","35","42","47","55","74","1.00104658871363","21000"
"n_MSW[27]","46.694925","10.9158340556369","32","39","45","52","74","1.0010272192684","28000"
"n_MSW[28]","35.7686","8.98135683843296","25","29","34","40","58","1.00099347639962","40000"
"n_MSW[29]","37.107925","9.47690732721848","25","30","35","42","61","1.0009769839793","40000"
"n_MSW[30]","77.83315","18.1630974376678","53","65","74","87","122","1.00098629415229","40000"
"n_MSW[31]","55.78555","14.3276199424339","36","46","53","63","91","1.00099770679423","40000"
"n_MSW[32]","49.0888","10.7696106787968","35","41","47","55","75","1.00099658565046","40000"
"n_MSW[33]","30.163025","10.3518368834979","17","23","28","35","56","1.00097933361907","40000"
"n_MSW[34]","65.5896","12.9680212862025","49","56","63","72","98","1.00098120609394","40000"
"n_MSW[35]","79.24995","22.6894963656894","46","63","76","92","134","1.00106041283391","17000"
"n_MSW[36]","33.55535","10.8203402613589","19","26","31","39","61","1.00099357862237","40000"
"n_MSW[37]","45.34195","13.2593350303338","27","36","43","52","77","1.00107161919865","15000"
"shape_lambda","3.2171407575","0.849401407376599","1.84597499339553","2.613","3.119","3.709","5.13707497865577","1.00097436157751","40000"
"rate_lambda","0.019432377475","0.00543999043251321","0.01059","0.01557","0.01884","0.02263","0.03168","1.00097526561717","40000"
"lambda_tot0","181.55782825","68.2411915084025","84.6794999424214","132.8","169.6","216.4","345.902499647726","1.00098356730018","40000"
"Plambda0[1]","0.7345342675","0.0850999866315005","0.542797499775442","0.6828","0.7433","0.7961","0.8742","1.00097608267056","40000"
"Plambda0[2]","0.265465709","0.0851000094037735","0.1258","0.2039","0.2567","0.3172","0.45720249973347","1.00097704817673","40000"
"s[1]","16.546153025","5.16583208273227","8.40197499854934","12.81","15.88","19.51","28.57","1.00097436806105","40000"
"s[2]","5.533140875","1.69910744945173","2.8849749957746","4.30874997824027","5.312","6.506","9.495","1.00097353929491","40000"
"lambda_tot[1]","97.61678325","19.2942997922996","67.5897499819667","84.16","95.0549998684971","108.1","142.8","1.00098723714796","40000"
"lambda_tot[2]","138.661839","18.7206264145838","106.9","125.5","137","149.824993744092","180","1.00099723980168","40000"
"lambda_tot[3]","217.5714675","30.9242951649222","167.7","195.6","214.2","235.2","288.2","1.00100071785578","40000"
"lambda_tot[4]","167.43075975","28.0346762916419","123.5","147.8","163.6","182.8","233","1.00098040193279","40000"
"lambda_tot[5]","146.054123","39.7089669207374","89.5797499863939","118","138.9","166.2","243.4","1.00098439820559","40000"
"lambda_tot[6]","232.5523625","49.3946824596026","163.8","197.9","223.5","257.1","354.8","1.00102639622729","28000"
"lambda_tot[7]","104.0295825","22.1616395183738","71.57","88.8474998944782","100.5","115","157.2","1.00097452814671","40000"
"lambda_tot[8]","208.591865","28.8865904391545","162.4","188.4","205","224.8","275.6","1.00104859912095","20000"
"lambda_tot[9]","166.337655","20.8434924947922","132.7","152.1","163.9","177.8","214.8","1.00102468401789","29000"
"lambda_tot[10]","72.429449","25.6657231833639","41.72","55.77","66.41","81.83","139.6","1.00108671023261","13000"
