"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda[5]","10406","9698.507","1660.889","2181.997","4622.945","18834.277","28672.439","9.072","2"
"lambda[6]","2112.911","660.601","863.024","1744.875","2283.655","2657.499","2904.096","2.982","3"
"lambda[11]","983.232","317.699","583.185","732.743","959.167","1199.25","1675.118","3.97","2"
"lambda[12]","1664.571","205.333","1238.781","1547.249","1722.484","1780.744","1995.153","1.311","9"
"lambda[13]","2142.821","447.538","1435.238","1841.888","2226.968","2512.499","2814.484","3.476","2"
"lambda[14]","1056.854","844.149","252.29","404.891","793.624","1405.862","2826.587","3.395","3"
"lambda[15]","1720.379","580.743","849.367","1283.904","1726.474","2001.527","2903.853","1.301","8"
"lambda[16]","5487.571","910.549","3538.278","4970.117","5611.354","6196.219","6706.825","2.97","3"
"lambda[17]","1950.5","276.715","1574.199","1672.181","1985.606","2195.249","2312.127","7.195","2"
"lambda[18]","739.789","291.13","376.599","548.978","650.882","904.149","1332.41","1.069","28"
"lambda[19]","1228.346","434.029","572.242","763.662","1213.31","1547.677","1885.662","2.838","3"
"lambda[21]","1389.679","503.839","495.873","1045.239","1386.987","1601.498","2503.537","1.797","4"
"lambda[22]","9167.464","6514.677","2431.025","2989.716","5859.966","15959.85","17131.519","15.31","2"
"lambda[23]","7030.893","694.181","5632.048","6460.25","7220.972","7490.246","7955.452","2.628","3"
"lambda[24]","4755.179","470.583","3992.232","4301.991","4825","5174.5","5413.891","3.796","2"
"lambda[25]","4875.679","2290.125","2446.623","2831.895","4216.742","6488.396","9196.898","7.232","2"
"lambda[26]","4505","784.826","3016.221","4038.994","4439.862","5096.701","5626.789","3.644","2"
"lambda[27]","6390.321","490.21","5436.539","6102.988","6322.998","6793.217","7195.87","1.085","18"
"lambda[28]","1118.832","208.819","860.056","961.19","1087.152","1213.208","1569.918","1.12","28"
"lambda[29]","2597.857","648.963","1670.532","2081.495","2446.5","3067.992","3749.457","4.3","2"
"lambda[30]","5691.536","996.771","3607.84","5301.47","5884.871","6336.728","7050.573","2.863","3"
"lambda[31]","24547.143","18942.02","6043.213","6579.186","15528.547","44006.432","52045.731","18.281","2"
"lambda[32]","1549.871","474.529","771.649","1217.175","1547.668","1955.75","2241.512","4.095","2"
"lambda[33]","2386.25","396.563","1761.302","2099.195","2381.959","2624.643","3152.563","1.267","11"
"lambda[34]","35359.893","29656.799","5638.166","7289.944","20201.714","63201.594","75860.349","16.212","2"
"lambda[35]","10105.429","2787.978","6929.485","7714.655","9243.387","12552.481","15224.37","5.612","2"
"lambda[36]","1434.071","159.76","1115.837","1356.247","1421.468","1496.999","1723.014","1.022","28"
"lambda[37]","3942.464","1530.325","1207.488","3011.429","3968.962","5149.795","6286.48","2.889","3"
"lambda[38]","5097.643","1292.324","3179.803","4286.78","4788.348","5960.491","7245.333","3.51","2"
"lambda[39]","2747.25","1416.78","784.778","1747.042","2437.909","3901.887","5201.619","3.223","3"
"lambda[40]","949.302","894.929","5.632","79.593","618.365","1901.476","2162.781","4.306","2"
