"Site";"Nat";"Comp";"Res";"Y";"Z";"S";"H"
582;339;NA;NA;30;3;462;1
583;340;NA;NA;30;3;1462;1
584;341;NA;NA;30;4;629;1
585;342;NA;NA;30;4;777;1
586;343;NA;NA;30;4;858;1
587;344;NA;NA;30;4;479;1
588;345;NA;NA;30;4;523;1
589;346;NA;NA;30;4;68;1
590;347;NA;NA;30;4;1138;1
591;348;NA;NA;30;4;457;1
592;349;NA;NA;30;4;1542;1
593;350;NA;NA;30;4;660;1
594;351;NA;NA;30;5;230;1
595;352;NA;NA;30;5;325;1
596;353;NA;NA;30;5;931;1
597;354;NA;NA;31;3;449;1
598;355;NA;NA;31;3;341;1
599;356;NA;NA;31;3;462;1
600;357;NA;NA;31;3;1462;1
601;358;NA;NA;31;4;629;1
602;359;NA;NA;31;4;777;1
603;360;NA;NA;31;4;858;1
604;361;NA;NA;31;4;479;1
605;362;NA;NA;31;4;523;1
606;363;NA;NA;31;4;68;1
607;364;NA;NA;31;4;1138;1
608;365;NA;NA;31;4;457;1
609;366;NA;NA;31;4;1542;1
610;367;NA;NA;31;4;660;1
611;368;NA;NA;31;5;230;1
612;369;NA;NA;31;5;325;1
613;370;NA;NA;31;5;931;1
614;371;NA;NA;32;3;449;1
615;372;NA;NA;32;3;341;1
616;373;NA;NA;32;3;462;1
617;374;NA;NA;32;3;1462;1
618;375;NA;NA;32;4;629;1
619;376;NA;NA;32;4;777;1
620;377;NA;NA;32;4;858;1
621;378;NA;NA;32;4;479;1
622;379;NA;NA;32;4;523;1
623;380;NA;NA;32;4;68;1
624;381;NA;NA;32;4;1138;1
625;382;NA;NA;32;4;457;1
626;383;NA;NA;32;4;1542;1
627;384;NA;NA;32;4;660;1
628;385;NA;NA;32;5;230;1
629;386;NA;NA;32;5;325;1
630;387;NA;NA;32;5;931;1
631;388;NA;NA;33;3;449;1
632;389;NA;NA;33;3;341;1
633;390;NA;NA;33;3;462;1
634;391;NA;NA;33;3;1462;1
635;392;NA;NA;33;4;629;1
636;393;NA;NA;33;4;777;1
637;394;NA;NA;33;4;858;1
638;395;NA;NA;33;4;479;1
639;396;NA;NA;33;4;523;1
640;397;NA;NA;33;4;68;1
641;398;NA;NA;33;4;1138;1
642;399;NA;NA;33;4;457;1
643;400;NA;NA;33;4;1542;1
644;401;NA;NA;33;4;660;1
645;402;NA;NA;33;5;230;1
646;403;NA;NA;33;5;325;1
647;404;NA;NA;33;5;931;1
648;405;NA;NA;34;3;449;1
649;406;NA;NA;34;3;341;1
650;407;NA;NA;34;3;462;1
651;408;NA;NA;34;3;1462;1
652;409;NA;NA;34;4;629;1
653;410;NA;NA;34;4;777;1
654;411;NA;NA;34;4;858;1
655;412;NA;NA;34;4;479;1
656;413;NA;NA;34;4;523;1
657;414;NA;NA;34;4;68;1
658;415;NA;NA;34;4;1138;1
659;416;NA;NA;34;4;457;1
660;417;NA;NA;34;4;1542;1
661;418;NA;NA;34;4;660;1
662;419;NA;NA;34;5;230;1
663;420;NA;NA;34;5;325;1
664;421;NA;NA;34;5;931;1
665;422;NA;NA;35;3;449;1
666;423;NA;NA;35;3;341;1
667;424;NA;NA;35;3;462;1
668;425;NA;NA;35;3;1462;1
669;426;NA;NA;35;4;629;1
670;427;NA;NA;35;4;777;1
671;428;NA;NA;35;4;858;1
672;429;NA;NA;35;4;479;1
673;430;NA;NA;35;4;523;1
674;431;NA;NA;35;4;68;1
675;432;NA;NA;35;4;1138;1
676;433;NA;NA;35;4;457;1
677;434;NA;NA;35;4;1542;1
678;435;NA;NA;35;4;660;1
679;436;NA;NA;35;5;230;1
680;437;NA;NA;35;5;325;1
681;438;NA;NA;35;5;931;1
682;439;NA;NA;36;3;449;1
683;440;NA;NA;36;3;341;1
684;441;NA;NA;36;3;462;1
685;442;NA;NA;36;3;1462;1
686;443;NA;NA;36;4;629;1
687;444;NA;NA;36;4;777;1
688;445;NA;NA;36;4;858;1
689;446;NA;NA;36;4;479;1
690;447;NA;NA;36;4;523;1
691;448;NA;NA;36;4;68;1
692;449;NA;NA;36;4;1138;1
693;450;NA;NA;36;4;457;1
694;451;NA;NA;36;4;1542;1
695;452;NA;NA;36;4;660;1
696;453;NA;NA;36;5;230;1
697;454;NA;NA;36;5;325;1
698;455;NA;NA;36;5;931;1
699;456;NA;NA;37;3;449;1
700;457;NA;NA;37;3;341;1
701;458;NA;NA;37;3;462;1
702;459;NA;NA;37;3;1462;1
703;460;NA;NA;37;4;629;1
704;461;NA;NA;37;4;777;1
705;462;NA;NA;37;4;858;1
706;463;NA;NA;37;4;479;1
707;464;NA;NA;37;4;523;1
708;465;NA;NA;37;4;68;1
709;466;NA;NA;37;4;1138;1
710;467;NA;NA;37;4;457;1
711;468;NA;NA;37;4;1542;1
712;469;NA;NA;37;4;660;1
713;470;NA;NA;37;5;230;1
714;471;NA;NA;37;5;325;1
715;472;NA;NA;37;5;931;1
716;473;NA;NA;38;3;449;1
717;474;NA;NA;38;3;341;1
718;475;NA;NA;38;3;462;1
719;476;NA;NA;38;3;1462;1
720;477;NA;NA;38;4;629;1
721;478;NA;NA;38;4;777;1
722;479;NA;NA;38;4;858;1
723;480;NA;NA;38;4;479;1
724;481;NA;NA;38;4;523;1
725;482;NA;NA;38;4;68;1
726;483;NA;NA;38;4;1138;1
727;484;NA;NA;38;4;457;1
728;485;NA;NA;38;4;1542;1
729;486;NA;NA;38;4;660;1
730;487;NA;NA;38;5;230;1
731;488;NA;NA;38;5;325;1
732;489;NA;NA;38;5;931;1
733;490;NA;NA;39;3;449;1
734;491;NA;NA;39;3;341;1
735;492;NA;NA;39;3;462;1
736;493;NA;NA;39;3;1462;1
737;494;NA;NA;39;4;629;1
738;495;NA;NA;39;4;777;1
739;496;NA;NA;39;4;858;1
740;497;NA;NA;39;4;479;1
741;498;NA;NA;39;4;523;1
742;499;NA;NA;39;4;68;1
743;500;NA;NA;39;4;1138;1
744;501;NA;NA;39;4;457;1
745;502;NA;NA;39;4;1542;1
746;503;NA;NA;39;4;660;1
747;504;NA;NA;39;5;230;1
748;505;NA;NA;39;5;325;1
749;506;NA;NA;39;5;931;1
