"1984"	"1985"	"1986"	"1987"	"1988"	"1989"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"	"2020"	"2021"
222300	288900	579600	429300	177300	591300	699300	580500	744300	1434000	1004000	731700	632700	329400	386100	441900	365400	522900	1141000	385200	266400	256500	247500	177300	362700	194400	409500	295200	202500	382500	311400	286200	270000	279000	261000	297900	416700	150300
221400	199800	460800	251100	323100	629100	693000	601200	741600	1345000	1046000	677700	667800	317700	342000	420300	387000	513900	1041000	391500	275400	318600	289800	191700	324000	230400	374400	408600	180900	473400	331200	336600	219600	270900	225000	272700	306000	185400
253800	175500	495000	307800	211500	623700	903600	666900	763200	1508000	909900	718200	609300	341100	364500	430200	372600	484200	1062000	404100	274500	337500	287100	159300	329400	199800	378000	288900	303300	458100	479700	347400	212400	228600	234000	281700	347400	165600
180900	209700	499500	324000	279000	701100	837900	654300	765000	1291000	1074000	696600	648900	347400	369000	422100	399600	532800	1045000	460800	239400	320400	292500	207900	319500	210600	363600	315000	231300	463500	366300	320400	215100	284400	217800	296100	401400	168300
207900	206100	665100	335700	187200	533700	923400	609300	785700	1343000	990000	856800	635400	363600	399600	463500	441000	540900	1107000	393300	271800	255600	242100	170100	313200	199800	346500	302400	244800	477900	360900	277200	201600	233100	276300	294300	409500	195300
255600	255600	582300	329400	192600	500400	845100	725400	711900	1296000	964800	723600	621000	335700	348300	450900	396900	542700	1103000	432900	289800	263700	230400	220500	291600	201600	385200	329400	216900	409500	440100	414900	278100	225000	252000	248400	383400	197100
273600	261900	576900	243000	203400	587700	943200	611100	754200	1380000	1017000	699300	599400	328500	348300	460800	414000	613800	1032000	386100	271800	313200	237600	214200	307800	221400	346500	307800	197100	422100	348300	358200	198000	216900	247500	304200	469800	152100
267300	197100	647100	356400	203400	640800	748800	693000	843300	1348000	968400	658800	609300	319500	352800	455400	395100	574200	1018000	394200	304200	313200	249300	183600	349200	227700	335700	342900	279900	383400	392400	325800	222300	224100	231300	239400	377100	207900
388800	203400	516600	288900	235800	610200	819000	769500	732600	1377000	942300	738900	615600	327600	398700	423900	397800	547200	1045000	394200	277200	313200	247500	177300	320400	237600	370800	331200	243000	454500	351900	295200	241200	245700	199800	264600	324000	189900
254700	235800	572400	226800	184500	579600	754200	622800	756000	1319000	1035000	758700	609300	349200	327600	415800	414900	564300	1038000	360900	254700	315900	285300	161100	287100	208800	407700	371700	255600	419400	358200	386100	325800	215100	247500	289800	466200	206100
372600	306900	647100	369900	283500	648900	681300	646200	742500	1329000	1025000	717300	627300	324000	355500	477000	423000	508500	1074000	415800	277200	288900	322200	194400	312300	218700	390600	319500	200700	423900	450900	334800	261900	247500	232200	286200	367200	225000
