"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"pmale_MSW[10]","0.123","0.03","0.079","0.1","0.119","0.14","0.192","1.001","6900"
"pmale_MSW[11]","0.085","0.023","0.053","0.067","0.081","0.098","0.143","1.001","6900"
"pmale_MSW[12]","0.187","0.03","0.136","0.167","0.184","0.207","0.254","1.001","6900"
"pmale_MSW[13]","0.122","0.018","0.098","0.109","0.116","0.13","0.167","1.001","6900"
"pmale_MSW[14]","0.109","0.044","0.062","0.083","0.091","0.133","0.231","1.001","6900"
"pmale_MSW[15]","0.199","0.057","0.118","0.154","0.182","0.231","0.333","1.001","3300"
"pmale_MSW[16]","0.247","0.038","0.184","0.22","0.243","0.27","0.333","1.001","6900"
"pmale_MSW[17]","0.205","0.038","0.143","0.176","0.2","0.227","0.293","1.001","6900"
"pmale_MSW[18]","0.143","0.037","0.094","0.115","0.138","0.167","0.231","1.001","6900"
"pmale_MSW[19]","0.104","0.026","0.07","0.083","0.098","0.118","0.167","1.001","6900"
"pmale_MSW[20]","0.195","0.025","0.156","0.177","0.193","0.21","0.25","1.001","6900"
"pmale_MSW[21]","0.134","0.037","0.091","0.105","0.12","0.158","0.222","1.001","2500"
"pmale_MSW[22]","0.023","0.043","0","0","0","0.056","0.143","1.001","6900"
"pmale_MSW[23]","0.166","0.035","0.114","0.139","0.161","0.188","0.244","1.001","6900"
"pmale_MSW[24]","0.287","0.054","0.2","0.25","0.286","0.316","0.409","1.001","5300"
"pmale_MSW[25]","0.097","0.031","0.062","0.074","0.087","0.111","0.172","1.001","6900"
"pmale_MSW[26]","0.011","0.024","0","0","0","0","0.087","1.001","6900"
"pmale_MSW[27]","0.364","0.042","0.286","0.333","0.36","0.391","0.448","1.001","6900"
"pmale_MSW[28]","0.313","0.028","0.261","0.293","0.311","0.327","0.372","1.001","4200"
"pmale_MSW[29]","0.098","0.048","0.045","0.062","0.077","0.125","0.214","1.001","5000"
"pmale_MSW[30]","0.272","0.037","0.204","0.244","0.268","0.296","0.354","1.001","6900"
"pmale_MSW[31]","0.141","0.031","0.094","0.119","0.137","0.159","0.213","1.001","6900"
"pmale_MSW[32]","0.187","0.04","0.122","0.158","0.182","0.21","0.278","1.001","6900"
"pmale_MSW[33]","0.125","0.041","0.074","0.095","0.115","0.148","0.227","1.001","3900"
"pmale_MSW[34]","0.162","0.049","0.095","0.125","0.15","0.188","0.278","1.001","6900"
"pmale_MSW[35]","0.187","0.041","0.125","0.156","0.182","0.212","0.282","1.001","6900"
"pmale_MSW[36]","0.16","0.051","0.091","0.125","0.148","0.188","0.286","1.001","6900"
"pmale_MSW[37]","0.25","0.045","0.171","0.218","0.246","0.279","0.347","1.001","6900"
"pmale_MSW[38]","0.151","0.051","0.083","0.111","0.138","0.182","0.273","1.001","6700"
"pmale_MSW[39]","0.288","0.044","0.209","0.257","0.286","0.316","0.385","1.001","2400"
"pmale_MSW[40]","0.671","0.083","0.5","0.625","0.692","0.727","0.8","1.001","6900"
"pmale_MSW[41]","0.206","0.032","0.152","0.184","0.204","0.225","0.279","1.001","6900"
"n[1,1]","64.308","7.372","53","59","63","69","81.774","1.001","6900"
"n[1,2]","112.147","9.175","98","106","111","117","133.774","1.001","6900"
"n[1,3]","8.642","2.105","6","7","8","10","14","1.001","6900"
"n[1,4]","17.321","2.989","13","15","17","19","25","1.001","6900"
"n[2,1]","47.654","6.014","38","43","47","51","61","1.001","6900"
"n[2,2]","38.581","4.588","31","35","38","41","49","1.001","6900"
"n[2,3]","9.432","2.084","7","8","9","11","14","1.001","6900"
"n[2,4]","42.596","5.499","34","39","42","46","56","1.001","6900"
"n[3,1]","163.49","16.151","138","152","162","173","201","1.001","6900"
"n[3,2]","168.922","14.447","146","159","167","177","202","1.001","6900"
"n[3,3]","11.869","2.557","8","10","11","13","18","1.002","1400"
"n[3,4]","34.897","5.005","27","31","34","38","47","1.001","6900"
"n[4,1]","71.654","6.294","61","67","71","75","86","1.001","6900"
"n[4,2]","116.875","7.679","105","111","116","121","135","1.001","6900"
"n[4,3]","10.096","1.851","8","9","10","11","15","1.001","6900"
"n[4,4]","40.27","4.485","34","37","40","43","51","1.001","6900"
"n[5,1]","66.455","8.615","53","60","66","72","86","1.001","6900"
"n[5,2]","54.026","6.005","44","50","53","57","67.774","1.001","5300"
"n[5,3]","3.758","1.702","2","2","3","5","8","1.001","4200"
"n[5,4]","32.667","4.565","26","29","32","35","43","1.001","6900"
"n[6,1]","128.412","15.137","103","118","127","137","162","1.001","4000"
"n[6,2]","130.366","13.015","109","121","129","138","160","1.003","830"
"n[6,3]","17.891","4.146","12","15","17","20","27","1.001","6900"
"n[6,4]","53.592","8.012","40","48","53","58","72","1.001","6900"
"n[7,1]","115.016","11.299","97","107","114","121","141","1.001","2400"
"n[7,2]","156.306","13.137","135","147","155","164","187","1.002","1200"
"n[7,3]","11.177","2.331","8","9","11","12","17","1.001","6900"
"n[7,4]","32.112","4.382","26","29","32","35","42","1.001","6900"
"n[8,1]","80.888","9.348","66","74","80","87","102","1.001","6900"
"n[8,2]","87.639","8.016","75","82","87","92","106","1.001","6900"
"n[8,3]","17.33","4.038","11","14","17","20","27","1.001","6900"
"n[8,4]","46.032","7.296","35","41","45","50","63","1.001","3100"
"n[9,1]","98.408","7.707","87","93","97","103","117","1.001","6900"
"n[9,2]","111.882","7.94","100","106","111","116","131","1.002","6900"
"n[9,3]","9.068","1.752","7","8","9","10","13","1.001","6900"
"n[9,4]","46.947","4.92","39","43","46","50","58","1.001","6900"
"n[10,1]","199.539","9.797","183","193","199","205","221","1.001","6900"
"n[10,2]","272.477","12.38","251","264","271","280","300","1.001","4700"
"n[10,3]","5.775","1.64","4","5","5","7","10","1.001","6900"
"n[10,4]","41.09","5.497","33","37","40","44","54","1.001","6900"
"n[11,1]","151.805","10.714","134","144","151","158","176","1.001","6900"
