model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[11,8]	19.45	5.312	10.73	18.85	30.47	10000
	d_Sc_pred[11,9]	2.356	0.9008	1.019	2.207	4.445	10000
	d_Sc_pred[11,10]	16.44	4.131	9.508	15.99	25.12	10000
	d_Sc_pred[11,11]	8.654	2.986	4.231	8.214	15.76	10000
	d_Sc_pred[11,12]	16.91	4.499	9.784	16.43	27.26	10000
	d_Sc_pred[11,13]	12.48	3.516	6.922	12.03	20.29	10000
	d_Sc_pred[11,14]	14.88	3.865	8.611	14.47	23.48	10000
	d_Sc_pred[11,15]	16.24	4.658	8.839	15.67	26.68	10000
	d_Sc_pred[11,16]	24.42	5.985	14.23	23.68	36.95	10000
	d_Sc_pred[11,17]	18.04	4.465	10.71	17.53	28.05	10000
	d_Sc_pred[11,18]	13.72	3.552	7.978	13.3	21.34	10000
	d_Sc_pred[11,19]	21.0	5.064	12.7	20.42	32.19	10000
	d_Sc_pred[11,20]	23.26	6.591	12.62	22.53	37.4	10000
	d_Sc_pred[11,21]	21.61	5.114	12.91	21.0	33.06	10000
	d_Sc_pred[11,22]	11.87	3.356	6.482	11.47	19.22	10000
	d_Sc_pred[11,23]	48.54	12.33	28.53	47.59	75.75	10000
	d_Sc_pred[11,24]	15.19	3.95	8.746	14.77	23.89	10000
	d_Sc_pred[11,25]	20.7	5.17	11.97	20.2	32.34	10000
	d_Sc_pred[12,1]	5.462	2.076	2.444	5.121	10.38	10000
	d_Sc_pred[12,2]	12.84	4.44	6.063	12.2	23.6	10000
	d_Sc_pred[12,3]	4.437	1.596	2.083	4.209	8.147	10000
	d_Sc_pred[12,4]	9.246	2.717	4.898	8.889	15.86	10000
	d_Sc_pred[12,5]	7.46	2.474	3.751	7.069	13.22	10000
	d_Sc_pred[12,6]	4.918	1.859	2.146	4.63	9.368	10000
	d_Sc_pred[12,7]	11.47	4.817	4.506	10.7	22.7	10000
	d_Sc_pred[12,8]	11.29	3.42	5.88	10.87	18.88	10000
	d_Sc_pred[12,9]	2.667	1.063	1.106	2.498	5.145	10000
	d_Sc_pred[12,10]	11.99	3.336	6.684	11.52	20.13	10000
	d_Sc_pred[12,11]	7.859	2.818	3.755	7.349	14.98	10000
	d_Sc_pred[12,12]	14.29	4.091	7.812	13.8	23.29	10000
	d_Sc_pred[12,13]	9.194	2.818	4.785	8.791	15.83	10000
	d_Sc_pred[12,14]	12.62	3.572	6.976	12.16	20.7	10000
	d_Sc_pred[12,15]	11.01	3.519	5.761	10.49	18.96	10000
	d_Sc_pred[12,16]	12.13	3.417	6.619	11.69	19.75	10000
	d_Sc_pred[12,17]	11.88	3.294	6.544	11.47	18.69	10000
	d_Sc_pred[12,18]	11.12	3.19	6.122	10.67	18.22	10000
	d_Sc_pred[12,19]	16.5	4.309	9.428	15.97	25.99	10000
	d_Sc_pred[12,20]	14.21	4.558	7.244	13.6	24.11	10000
	d_Sc_pred[12,21]	14.66	4.004	8.433	14.16	23.34	10000
	d_Sc_pred[12,22]	13.27	3.783	7.292	12.75	21.81	10000
	d_Sc_pred[12,23]	25.79	7.351	13.85	25.0	42.12	10000
	d_Sc_pred[12,24]	11.48	3.235	6.341	11.15	18.0	10000
	d_Sc_pred[12,25]	18.85	5.228	10.45	18.34	29.97	10000
	d_Sc_pred[13,1]	6.522	2.419	2.901	6.139	12.14	10000
	d_Sc_pred[13,2]	10.24	3.566	4.923	9.674	18.32	10000
	d_Sc_pred[13,3]	6.439	2.167	3.111	6.144	11.42	10000
	d_Sc_pred[13,4]	9.619	2.773	5.245	9.286	15.79	10000
	d_Sc_pred[13,5]	7.369	2.384	3.677	7.034	12.89	10000
	d_Sc_pred[13,6]	5.367	2.011	2.272	5.097	10.23	10000
	d_Sc_pred[13,7]	8.987	3.711	3.611	8.298	17.97	10000
	d_Sc_pred[13,8]	12.33	3.639	6.573	11.87	20.88	10000
	d_Sc_pred[13,9]	2.361	0.915	0.9965	2.221	4.504	10000
	d_Sc_pred[13,10]	10.96	3.017	6.139	10.6	17.51	10000
	d_Sc_pred[13,11]	8.01	2.841	3.854	7.53	15.02	10000
	d_Sc_pred[13,12]	13.95	3.991	7.652	13.51	22.73	10000
	d_Sc_pred[13,13]	9.854	3.006	5.257	9.401	16.96	10000
	d_Sc_pred[13,14]	7.856	2.291	4.283	7.602	12.96	10000
	d_Sc_pred[13,15]	9.064	3.032	4.533	8.59	16.12	10000
	d_Sc_pred[13,16]	12.57	3.479	7.16	12.32	19.98	10000
