model is syntactically correct
data loaded
model compiled
initial values loaded but chain contains uninitialized variables
initial values loaded but chain contains uninitialized variables
initial values generated, model initialized
model is updating
1000 updates took 44 s
model is updating
5000 updates took 223 s
CODA files written
Summary statistics
		mean	sd	val2.5pc	median	val97.5pc	sample
	d_Sc_pred[29,13]	11.7	3.36	6.273	11.3	19.53	10000
	d_Sc_pred[29,14]	11.11	2.944	6.154	10.79	17.65	10000
	d_Sc_pred[29,15]	14.91	4.31	7.918	14.42	24.54	10000
	d_Sc_pred[29,16]	16.07	4.223	8.954	15.72	25.4	10000
	d_Sc_pred[29,17]	15.64	3.879	8.956	15.37	23.84	10000
	d_Sc_pred[29,18]	10.06	2.771	5.523	9.749	16.35	10000
	d_Sc_pred[29,19]	23.43	5.266	14.44	22.98	34.01	10000
	d_Sc_pred[29,20]	23.85	6.738	12.91	23.06	38.67	10000
	d_Sc_pred[29,21]	13.88	3.465	7.905	13.53	22.06	10000
	d_Sc_pred[29,22]	13.15	3.547	7.269	12.82	20.83	10000
	d_Sc_pred[29,23]	33.13	8.534	18.64	32.1	52.04	10000
	d_Sc_pred[29,24]	16.5	4.071	9.376	16.14	25.22	10000
	d_Sc_pred[29,25]	23.98	5.991	13.43	23.52	36.65	10000
	d_Sc_pred[30,1]	8.908	3.133	4.077	8.458	16.39	10000
	d_Sc_pred[30,2]	14.31	4.817	7.099	13.57	25.61	10000
	d_Sc_pred[30,3]	13.56	4.315	6.64	13.16	22.84	10000
	d_Sc_pred[30,4]	13.83	3.654	7.8	13.49	22.07	10000
	d_Sc_pred[30,5]	6.348	2.038	3.184	6.05	11.02	10000
	d_Sc_pred[30,6]	3.051	1.185	1.314	2.849	5.831	10000
	d_Sc_pred[30,7]	4.994	2.075	1.975	4.636	10.03	10000
	d_Sc_pred[30,8]	8.823	2.844	4.404	8.419	15.52	10000
	d_Sc_pred[30,9]	2.262	0.852	0.9939	2.132	4.273	10000
	d_Sc_pred[30,10]	15.66	3.922	8.986	15.36	24.24	10000
	d_Sc_pred[30,11]	8.434	2.912	4.083	7.987	15.42	10000
	d_Sc_pred[30,12]	23.81	5.881	13.85	23.19	36.99	10000
	d_Sc_pred[30,13]	11.87	3.475	6.488	11.38	20.05	10000
	d_Sc_pred[30,14]	18.78	4.764	10.81	18.27	29.2	10000
	d_Sc_pred[30,15]	13.49	4.011	7.141	13.06	22.45	10000
	d_Sc_pred[30,16]	14.72	3.961	8.345	14.24	23.13	10000
	d_Sc_pred[30,17]	17.69	4.498	10.22	17.19	27.82	10000
	d_Sc_pred[30,18]	16.7	4.15	9.833	16.21	25.05	10000
	d_Sc_pred[30,19]	36.82	7.866	23.42	36.0	54.09	10000
	d_Sc_pred[30,20]	27.77	7.646	15.43	26.99	43.61	10000
	d_Sc_pred[30,21]	22.58	5.29	13.38	22.13	34.05	10000
	d_Sc_pred[30,22]	27.57	6.719	16.66	27.15	41.74	10000
	d_Sc_pred[30,23]	36.04	9.288	20.74	35.32	57.51	10000
	d_Sc_pred[30,24]	10.89	2.98	6.028	10.54	16.98	10000
	d_Sc_pred[30,25]	15.7	4.214	8.794	15.38	25.18	10000
	d_Sc_pred[31,1]	8.088	2.928	3.662	7.602	15.09	10000
	d_Sc_pred[31,2]	15.29	5.161	7.287	14.54	27.79	10000
	d_Sc_pred[31,3]	9.581	3.181	4.538	9.185	17.01	10000
	d_Sc_pred[31,4]	10.05	2.869	5.42	9.72	16.64	10000
	d_Sc_pred[31,5]	4.01	1.415	1.878	3.785	7.388	10000
	d_Sc_pred[31,6]	3.073	1.231	1.278	2.877	6.049	10000
	d_Sc_pred[31,7]	5.587	2.337	2.218	5.175	10.98	10000
	d_Sc_pred[31,8]	9.518	3.017	4.787	9.086	16.25	10000
	d_Sc_pred[31,9]	2.624	1.015	1.104	2.464	5.047	10000
	d_Sc_pred[31,10]	18.39	4.61	10.52	18.07	30.2	10000
	d_Sc_pred[31,11]	7.924	2.729	3.825	7.491	14.35	10000
	d_Sc_pred[31,12]	26.55	6.581	15.13	26.1	40.45	10000
	d_Sc_pred[31,13]	11.95	3.446	6.356	11.54	19.72	10000
	d_Sc_pred[31,14]	14.13	3.686	7.948	13.81	22.18	10000
	d_Sc_pred[31,15]	16.11	4.685	8.617	15.56	27.03	10000
	d_Sc_pred[31,16]	15.06	4.002	8.318	14.69	24.24	10000
	d_Sc_pred[31,17]	25.76	6.142	15.33	25.19	38.99	10000
	d_Sc_pred[31,18]	8.257	2.56	4.181	7.895	13.96	10000
	d_Sc_pred[31,19]	52.61	10.25	33.31	52.2	73.28	10000
	d_Sc_pred[31,20]	29.28	8.11	16.29	28.52	47.39	10000
	d_Sc_pred[31,21]	6.831	2.323	3.234	6.516	12.23	10000
	d_Sc_pred[31,22]	29.73	7.195	17.12	29.41	44.66	10000
	d_Sc_pred[31,23]	34.98	9.076	19.7	34.22	55.5	10000
	d_Sc_pred[31,24]	15.41	3.992	8.585	15.01	24.66	10000
	d_Sc_pred[31,25]	14.38	3.907	8.033	13.9	22.93	10000
	d_Sc_pred[32,1]	3.361	1.343	1.415	3.124	6.579	10000
	d_Sc_pred[32,2]	7.293	2.72	3.252	6.843	13.77	10000
	d_Sc_pred[32,3]	8.203	3.167	3.355	7.696	15.35	10000
	d_Sc_pred[32,4]	6.128	1.891	3.121	5.897	10.53	10000
	d_Sc_pred[32,5]	3.066	1.115	1.387	2.899	5.643	10000
	d_Sc_pred[32,6]	2.129	0.8398	0.8952	1.984	4.063	10000
	d_Sc_pred[32,7]	3.093	1.347	1.196	2.837	6.344	10000
	d_Sc_pred[32,8]	6.642	2.187	3.322	6.377	11.53	10000
	d_Sc_pred[32,9]	1.535	0.6265	0.6397	1.432	3.032	10000
	d_Sc_pred[32,10]	10.54	3.012	5.539	10.27	17.38	10000
	d_Sc_pred[32,11]	5.321	1.925	2.469	5.006	9.876	10000
	d_Sc_pred[32,12]	10.69	3.16	5.512	10.35	17.7	10000
	d_Sc_pred[32,13]	6.396	2.022	3.237	6.114	11.04	10000
	d_Sc_pred[32,14]	9.596	2.748	5.059	9.312	16.02	10000
	d_Sc_pred[32,15]	11.14	3.478	5.495	10.74	19.29	10000
	d_Sc_pred[32,16]	11.07	3.216	5.766	10.71	18.15	10000
	d_Sc_pred[32,17]	7.558	2.224	3.959	7.289	12.38	10000
	d_Sc_pred[32,18]	10.93	3.1	5.819	10.59	17.71	10000
	d_Sc_pred[32,19]	15.32	3.96	8.619	14.87	24.27	10000
	d_Sc_pred[32,20]	13.45	4.287	6.74	12.88	22.73	10000
	d_Sc_pred[32,21]	9.827	2.768	5.318	9.529	15.96	10000
	d_Sc_pred[32,22]	10.95	3.194	5.746	10.6	18.13	10000
	d_Sc_pred[32,23]	17.61	5.274	9.236	16.96	29.87	10000
	d_Sc_pred[32,24]	8.96	2.567	4.794	8.645	14.73	10000
	d_Sc_pred[32,25]	6.579	2.137	3.304	6.277	11.43	10000
	d_Sc_pred[33,1]	7.679	2.822	3.419	7.34	14.22	10000
	d_Sc_pred[33,2]	15.15	5.266	7.145	14.31	27.66	10000
	d_Sc_pred[33,3]	9.978	3.525	4.471	9.546	18.04	10000
	d_Sc_pred[33,4]	7.094	2.224	3.632	6.808	12.36	10000
	d_Sc_pred[33,5]	3.756	1.351	1.716	3.555	6.968	10000
	d_Sc_pred[33,6]	3.207	1.252	1.365	3.007	6.193	10000
	d_Sc_pred[33,7]	5.628	2.274	2.286	5.235	11.06	10000
	d_Sc_pred[33,8]	14.02	4.136	7.172	13.63	23.2	10000
	d_Sc_pred[33,9]	2.551	1.029	1.054	2.384	5.075	10000
	d_Sc_pred[33,10]	18.79	4.838	10.37	18.41	29.13	10000
	d_Sc_pred[33,11]	11.78	3.957	5.866	11.14	21.72	10000
	d_Sc_pred[33,12]	14.22	4.049	7.444	13.79	22.8	10000
	d_Sc_pred[33,13]	10.41	3.08	5.487	10.01	17.43	10000
	d_Sc_pred[33,14]	10.5	2.977	5.623	10.17	17.59	10000
	d_Sc_pred[33,15]	23.99	6.756	12.62	23.43	38.73	10000
	d_Sc_pred[33,16]	16.03	4.31	8.792	15.6	25.5	10000
	d_Sc_pred[33,17]	12.51	3.404	6.77	12.14	19.92	10000
	d_Sc_pred[33,18]	11.36	3.204	6.111	10.99	18.58	10000
	d_Sc_pred[33,19]	30.54	6.826	18.38	30.07	46.9	10000
	d_Sc_pred[33,20]	23.55	6.817	12.16	22.84	39.31	10000
	d_Sc_pred[33,21]	13.34	3.601	7.401	12.87	21.53	10000
	d_Sc_pred[33,22]	12.02	3.443	6.46	11.64	19.78	10000
	d_Sc_pred[33,23]	19.93	5.875	10.51	19.21	33.74	10000
	d_Sc_pred[33,24]	10.12	2.937	5.381	9.832	16.84	10000
	d_Sc_pred[33,25]	11.8	3.387	6.338	11.43	19.51	10000
	d_Sc_pred[34,1]	5.121	2.011	2.221	4.797	9.98	10000
	d_Sc_pred[34,2]	14.12	5.119	6.105	13.27	26.13	10000
	d_Sc_pred[34,3]	10.7	4.103	4.305	10.17	20.16	10000
	d_Sc_pred[34,4]	4.593	1.482	2.305	4.373	8.016	10000
	d_Sc_pred[34,5]	3.027	1.102	1.362	2.851	5.689	10000
	d_Sc_pred[34,6]	2.614	1.009	1.126	2.442	5.038	10000
	d_Sc_pred[34,7]	3.521	1.509	1.392	3.246	7.134	10000
	d_Sc_pred[34,8]	6.448	2.162	3.043	6.174	11.49	10000
	d_Sc_pred[34,9]	2.079	0.8672	0.8309	1.922	4.181	10000
	d_Sc_pred[34,10]	11.13	3.068	6.085	10.79	17.95	10000
	d_Sc_pred[34,11]	6.847	2.417	3.227	6.484	12.76	10000
	d_Sc_pred[34,12]	11.01	3.174	5.884	10.59	18.16	10000
	d_Sc_pred[34,13]	6.401	2.005	3.333	6.123	11.03	10000
	d_Sc_pred[34,14]	7.929	2.322	4.223	7.628	13.17	10000
	d_Sc_pred[34,15]	10.97	3.364	5.549	10.58	18.53	10000
	d_Sc_pred[34,16]	15.33	4.288	8.119	14.87	26.54	10000
	d_Sc_pred[34,17]	6.421	1.922	3.385	6.173	10.81	10000
	d_Sc_pred[34,18]	10.34	2.861	5.737	10.02	16.74	10000
	d_Sc_pred[34,19]	25.99	6.116	16.64	25.26	38.87	10000
	d_Sc_pred[34,20]	15.12	4.59	7.584	14.49	25.25	10000
	d_Sc_pred[34,21]	9.39	2.617	5.189	9.108	15.28	10000
	d_Sc_pred[34,22]	10.68	3.122	5.463	10.29	17.53	10000
	d_Sc_pred[34,23]	21.41	6.088	11.63	20.83	35.01	10000
	d_Sc_pred[34,24]	11.46	3.176	6.138	11.12	18.78	10000
	d_Sc_pred[34,25]	11.31	3.248	6.073	10.94	18.54	10000
	d_Sc_pred[35,1]	9.633	3.54	4.25	9.131	17.84	10000
	d_Sc_pred[35,2]	17.78	5.976	8.54	16.95	31.73	10000
	d_Sc_pred[35,3]	12.92	4.385	5.898	12.41	23.04	10000
	d_Sc_pred[35,4]	5.486	1.749	2.742	5.228	9.752	10000
	d_Sc_pred[35,5]	7.129	2.266	3.584	6.809	12.21	10000
	d_Sc_pred[35,6]	4.066	1.519	1.845	3.839	7.618	10000
	d_Sc_pred[35,7]	6.645	2.632	2.793	6.196	12.87	10000
	d_Sc_pred[35,8]	8.207	2.645	4.112	7.888	14.16	10000
	d_Sc_pred[35,9]	2.778	1.073	1.194	2.619	5.316	10000
	d_Sc_pred[35,10]	10.71	2.872	5.921	10.44	16.91	10000
	d_Sc_pred[35,11]	6.075	2.168	2.82	5.722	11.14	10000
	d_Sc_pred[35,12]	14.27	3.805	7.931	13.87	22.65	10000
	d_Sc_pred[35,13]	13.32	3.74	7.193	12.92	21.86	10000
	d_Sc_pred[35,14]	11.21	2.996	6.251	10.84	17.81	10000
	d_Sc_pred[35,15]	15.07	4.403	7.987	14.57	25.13	10000
	d_Sc_pred[35,16]	12.96	3.508	7.082	12.6	20.72	10000
	d_Sc_pred[35,17]	11.68	3.086	6.677	11.32	19.26	10000
	d_Sc_pred[35,18]	15.79	4.029	8.948	15.43	24.25	10000
	d_Sc_pred[35,19]	33.58	7.069	21.96	33.2	47.4	10000
	d_Sc_pred[35,20]	23.88	6.798	12.86	23.09	39.32	10000
	d_Sc_pred[35,21]	15.06	3.784	8.762	14.7	23.42	10000
	d_Sc_pred[35,22]	13.97	3.77	7.781	13.55	22.22	10000
	d_Sc_pred[35,23]	26.24	7.023	14.61	25.47	41.9	10000
	d_Sc_pred[35,24]	14.97	3.794	8.457	14.67	23.05	10000
	d_Sc_pred[35,25]	15.49	4.046	8.897	15.09	24.35	10000
	d_Sc_pred[36,1]	4.664	1.884	1.927	4.337	9.218	10000
	d_Sc_pred[36,2]	9.362	3.581	4.096	8.804	17.86	10000
	d_Sc_pred[36,3]	9.52	4.007	3.384	9.039	19.14	10000
	d_Sc_pred[36,4]	4.78	1.536	2.371	4.57	8.313	10000
	d_Sc_pred[36,5]	4.174	1.487	1.924	3.947	7.776	10000
	d_Sc_pred[36,6]	1.663	0.6632	0.6741	1.569	3.223	10000
	d_Sc_pred[36,7]	2.71	1.201	1.044	2.501	5.68	10000
	d_Sc_pred[36,8]	5.081	1.753	2.413	4.83	9.004	10000
	d_Sc_pred[36,9]	1.826	0.8155	0.6882	1.674	3.877	10000
	d_Sc_pred[36,10]	3.733	1.279	1.787	3.55	6.587	10000
	d_Sc_pred[36,11]	5.393	1.988	2.516	5.069	10.11	10000
	d_Sc_pred[36,12]	9.892	2.953	5.102	9.545	16.61	10000
	d_Sc_pred[36,13]	7.656	2.47	3.824	7.317	13.31	10000
	d_Sc_pred[36,14]	4.795	1.535	2.418	4.601	8.149	10000
	d_Sc_pred[36,15]	7.039	2.379	3.368	6.696	12.25	10000
	d_Sc_pred[36,16]	6.869	2.144	3.49	6.572	11.67	10000
	d_Sc_pred[36,17]	8.484	2.525	4.42	8.163	14.27	10000
	d_Sc_pred[36,18]	8.192	2.467	4.186	7.914	13.74	10000
	d_Sc_pred[36,19]	10.72	2.939	5.88	10.43	17.34	10000
	d_Sc_pred[36,20]	13.23	4.25	6.542	12.7	23.19	10000
	d_Sc_pred[36,21]	6.764	2.058	3.526	6.51	11.29	10000
	d_Sc_pred[36,22]	8.131	2.472	4.28	7.85	13.38	10000
	d_Sc_pred[36,23]	14.35	4.416	7.379	13.78	24.5	10000
	d_Sc_pred[36,24]	7.908	2.384	4.055	7.666	13.06	10000
	d_Sc_pred[36,25]	6.303	2.031	3.115	5.964	11.2	10000
	d_Sc_pred[37,1]	6.487	2.502	2.806	6.09	12.47	10000
	d_Sc_pred[37,2]	16.8	6.111	7.387	16.05	31.12	10000
	d_Sc_pred[37,3]	10.21	3.827	4.318	9.71	19.66	10000
	d_Sc_pred[37,4]	5.025	1.631	2.502	4.794	8.755	10000
	d_Sc_pred[37,5]	3.697	1.321	1.703	3.497	6.69	10000
	d_Sc_pred[37,6]	2.417	0.9756	0.9647	2.26	4.723	10000
	d_Sc_pred[37,7]	4.797	1.988	1.896	4.457	9.55	10000
	d_Sc_pred[37,8]	4.835	1.831	2.1	4.539	9.172	10000
	d_Sc_pred[37,9]	1.749	0.691	0.7335	1.634	3.396	10000
	d_Sc_pred[37,10]	6.839	2.099	3.467	6.58	11.33	10000
	d_Sc_pred[37,11]	7.556	2.625	3.576	7.177	13.71	10000
	d_Sc_pred[37,12]	12.14	3.512	6.333	11.75	20.04	10000
	d_Sc_pred[37,13]	7.001	2.189	3.596	6.691	12.06	10000
	d_Sc_pred[37,14]	7.331	2.171	3.863	7.057	12.24	10000
	d_Sc_pred[37,15]	12.1	3.71	6.204	11.63	20.61	10000
	d_Sc_pred[37,16]	10.36	3.088	5.337	10.02	16.89	10000
	d_Sc_pred[37,17]	15.95	4.225	8.623	15.53	25.04	10000
	d_Sc_pred[37,18]	14.91	3.932	8.068	14.52	23.62	10000
	d_Sc_pred[37,19]	20.13	4.787	11.69	19.84	30.43	10000
	d_Sc_pred[37,20]	24.25	7.241	12.39	23.42	40.55	10000
	d_Sc_pred[37,21]	16.5	4.279	9.21	16.16	25.78	10000
	d_Sc_pred[37,22]	17.74	4.799	9.58	17.35	28.02	10000
	d_Sc_pred[37,23]	21.57	6.21	11.62	20.87	35.39	10000
	d_Sc_pred[37,24]	15.23	4.14	8.368	14.92	24.51	10000
	d_Sc_pred[37,25]	10.98	3.23	5.622	10.61	18.28	10000
	d_Sc_pred[38,1]	2.426	1.036	0.9567	2.242	4.869	10000
	d_Sc_pred[38,2]	4.514	2.257	1.624	4.047	9.659	10000
	d_Sc_pred[38,3]	5.195	3.006	1.542	4.381	12.97	10000
	d_Sc_pred[38,4]	2.472	0.9261	1.085	2.328	4.574	10000
	d_Sc_pred[38,5]	1.451	0.5921	0.5887	1.348	2.853	10000
	d_Sc_pred[38,6]	1.213	0.5134	0.4826	1.125	2.49	10000
	d_Sc_pred[38,7]	2.248	1.023	0.8586	2.043	4.735	10000
	d_Sc_pred[38,8]	2.818	1.126	1.172	2.63	5.376	10000
	d_Sc_pred[38,9]	0.6882	0.3015	0.2729	0.6307	1.435	10000
	d_Sc_pred[38,10]	4.335	1.515	2.041	4.108	7.917	10000
	d_Sc_pred[38,11]	3.342	1.331	1.438	3.129	6.549	10000
	d_Sc_pred[38,12]	3.839	1.404	1.71	3.642	7.155	10000
	d_Sc_pred[38,13]	2.937	1.104	1.309	2.756	5.535	10000
	d_Sc_pred[38,14]	3.616	1.3	1.638	3.418	6.625	10000
	d_Sc_pred[38,15]	4.56	1.714	1.969	4.313	8.501	10000
	d_Sc_pred[38,16]	3.51	1.276	1.577	3.342	6.487	10000
	d_Sc_pred[38,17]	4.316	1.505	1.936	4.119	7.763	10000
	d_Sc_pred[38,18]	5.784	2.012	2.61	5.494	10.44	10000
	d_Sc_pred[38,19]	9.876	3.147	4.779	9.536	16.94	10000
	d_Sc_pred[38,20]	9.267	3.5	3.939	8.679	17.38	10000
	d_Sc_pred[38,21]	5.504	1.851	2.57	5.267	9.67	10000
	d_Sc_pred[38,22]	6.124	2.137	2.833	5.838	11.11	10000
	d_Sc_pred[38,23]	9.999	3.458	4.636	9.524	18.21	10000
	d_Sc_pred[38,24]	5.15	1.781	2.393	4.889	9.301	10000
	d_Sc_pred[38,25]	3.62	1.32	1.59	3.431	6.753	10000
	d_Sc_pred[39,1]	3.932	2.003	1.345	3.472	8.791	10000
	d_Sc_pred[39,2]	3.347	1.435	1.324	3.089	6.744	10000
	d_Sc_pred[39,3]	3.498	1.592	1.294	3.185	7.388	10000
	d_Sc_pred[39,4]	2.991	1.105	1.35	2.814	5.547	10000
	d_Sc_pred[39,5]	1.276	0.5509	0.5026	1.177	2.607	10000
	d_Sc_pred[39,6]	1.261	0.5597	0.498	1.157	2.556	10000
	d_Sc_pred[39,7]	2.076	0.9498	0.7636	1.906	4.418	10000
	d_Sc_pred[39,8]	2.947	1.163	1.225	2.762	5.727	10000
	d_Sc_pred[39,9]	0.7201	0.3187	0.2811	0.6613	1.497	10000
	d_Sc_pred[39,10]	2.42	0.9549	1.011	2.275	4.671	10000
	d_Sc_pred[39,11]	3.923	1.587	1.634	3.658	7.668	10000
	d_Sc_pred[39,12]	3.368	1.309	1.407	3.159	6.338	10000
	d_Sc_pred[39,13]	4.768	1.797	2.066	4.496	9.085	10000
	d_Sc_pred[39,14]	4.322	1.585	1.931	4.07	8.114	10000
	d_Sc_pred[39,15]	5.613	2.08	2.468	5.296	10.5	10000
	d_Sc_pred[39,16]	4.221	1.57	1.89	3.969	7.88	10000
	d_Sc_pred[39,17]	4.391	1.55	2.015	4.174	7.941	10000
	d_Sc_pred[39,18]	13.82	5.284	5.142	13.43	25.45	10000
	d_Sc_pred[39,19]	11.96	3.865	5.652	11.64	20.61	10000
	d_Sc_pred[39,20]	7.349	2.725	3.239	6.937	13.69	10000
	d_Sc_pred[39,21]	5.775	1.939	2.736	5.538	10.08	10000
	d_Sc_pred[39,22]	4.645	1.677	2.076	4.407	8.511	10000
	d_Sc_pred[39,23]	12.77	4.455	5.876	12.17	22.94	10000
	d_Sc_pred[39,24]	4.081	1.466	1.857	3.851	7.561	10000
	d_Sc_pred[39,25]	3.17	1.226	1.361	2.985	5.983	10000
	d_Sc_pred[40,1]	2.911	1.189	1.233	2.705	5.594	10000
	d_Sc_pred[40,2]	6.62	2.451	2.826	6.276	12.48	10000
	d_Sc_pred[40,3]	8.819	3.627	3.285	8.286	17.15	10000
	d_Sc_pred[40,4]	5.371	1.698	2.729	5.15	9.4	10000
	d_Sc_pred[40,5]	6.021	2.117	2.686	5.776	10.88	10000
	d_Sc_pred[40,6]	1.865	0.7675	0.7756	1.733	3.639	10000
	d_Sc_pred[40,7]	3.05	1.365	1.192	2.792	6.265	10000
	d_Sc_pred[40,8]	4.797	1.744	2.241	4.524	8.804	10000
	d_Sc_pred[40,9]	1.083	0.4483	0.433	1.012	2.152	10000
	d_Sc_pred[40,10]	4.053	1.398	1.911	3.865	7.303	10000
	d_Sc_pred[40,11]	6.082	2.188	2.838	5.739	11.39	10000
	d_Sc_pred[40,12]	5.742	1.969	2.717	5.459	10.4	10000
	d_Sc_pred[40,13]	2.861	1.082	1.262	2.704	5.306	10000
	d_Sc_pred[40,14]	5.331	1.657	2.729	5.104	9.099	10000
	d_Sc_pred[40,15]	15.44	4.857	7.579	14.87	26.75	10000
	d_Sc_pred[40,16]	10.24	3.07	5.094	9.899	16.72	10000
	d_Sc_pred[40,17]	8.853	2.609	4.614	8.574	14.86	10000
	d_Sc_pred[40,18]	13.41	3.802	6.986	13.07	21.91	10000
	d_Sc_pred[40,19]	4.468	1.635	2.03	4.212	8.186	10000
	d_Sc_pred[40,20]	14.96	4.842	7.201	14.33	26.59	10000
	d_Sc_pred[40,21]	19.73	5.253	10.73	19.41	30.68	10000
	d_Sc_pred[40,22]	10.83	3.172	5.616	10.47	17.77	10000
	d_Sc_pred[40,23]	28.37	8.109	14.67	27.51	46.04	10000
	d_Sc_pred[40,24]	13.58	3.881	7.062	13.27	21.79	10000
	d_Sc_pred[40,25]	11.84	3.526	6.242	11.46	18.94	10000
	d_Sc_pred[41,1]	5.859	4.571	1.162	4.775	13.36	10000
	d_Sc_pred[41,2]	10.66	8.688	1.85	8.154	30.54	10000
	d_Sc_pred[41,3]	5.461	4.147	1.201	4.311	17.93	10000
	d_Sc_pred[41,4]	7.205	5.211	1.349	5.656	20.13	10000
	d_Sc_pred[41,5]	4.744	3.747	0.9448	3.868	14.21	10000
	d_Sc_pred[41,6]	3.449	2.833	0.7483	2.73	10.35	10000
	d_Sc_pred[41,7]	5.574	4.262	1.02	4.3	14.65	10000
	d_Sc_pred[41,8]	10.06	7.323	1.722	8.23	30.32	10000
	d_Sc_pred[41,9]	1.836	1.509	0.4132	1.427	4.671	10000
	d_Sc_pred[41,10]	9.602	7.322	1.955	7.742	26.06	10000
	d_Sc_pred[41,11]	7.462	6.16	1.388	5.781	18.93	10000
	d_Sc_pred[41,12]	12.72	9.061	2.707	10.28	34.11	10000
	d_Sc_pred[41,13]	8.08	6.653	1.564	6.25	21.63	10000
	d_Sc_pred[41,14]	8.205	6.084	1.78	6.621	20.43	10000
	d_Sc_pred[41,15]	13.51	9.591	2.656	11.01	34.92	10000
	d_Sc_pred[41,16]	11.75	9.041	2.498	9.749	32.39	10000
	d_Sc_pred[41,17]	9.895	8.06	1.844	7.93	24.74	10000
	d_Sc_pred[41,18]	7.209	5.592	1.492	5.53	18.44	10000
	d_Sc_pred[41,19]	10.38	7.358	2.048	8.269	22.62	10000
	d_Sc_pred[41,20]	10.28	7.391	2.416	8.189	25.45	10000
	d_Sc_pred[41,21]	8.185	6.251	1.737	6.544	28.1	10000
	d_Sc_pred[41,22]	8.05	5.763	1.751	6.548	21.27	10000
	d_Sc_pred[41,23]	14.58	10.06	3.149	11.72	37.12	10000
	d_Sc_pred[41,24]	7.374	6.561	1.54	5.61	19.39	10000
	d_Sc_pred[41,25]	7.218	5.138	1.649	5.751	20.74	10000
	d_Sc_pred[42,1]	3.876	3.411	0.6508	2.486	15.68	10000
	d_Sc_pred[42,2]	6.968	5.992	1.194	4.707	25.88	10000
	d_Sc_pred[42,3]	3.717	3.266	0.6904	2.497	9.81	10000
	d_Sc_pred[42,4]	4.835	4.308	0.7742	3.325	16.51	10000
	d_Sc_pred[42,5]	3.046	2.725	0.4879	2.188	12.91	10000
	d_Sc_pred[42,6]	2.301	2.037	0.4367	1.381	4.692	10000
	d_Sc_pred[42,7]	3.767	3.329	0.7019	2.516	12.02	10000
	d_Sc_pred[42,8]	6.852	5.859	1.052	4.456	25.31	10000
	d_Sc_pred[42,9]	1.213	1.036	0.2419	0.7865	2.958	10000
	d_Sc_pred[42,10]	6.41	5.472	1.252	4.541	18.8	10000
	d_Sc_pred[42,11]	5.125	5.294	0.7983	3.244	10.99	10000
	d_Sc_pred[42,12]	8.577	7.408	1.401	6.278	29.93	10000
	d_Sc_pred[42,13]	5.409	4.9	0.8274	3.68	11.92	10000
	d_Sc_pred[42,14]	5.512	5.016	1.003	3.132	31.75	10000
	d_Sc_pred[42,15]	9.157	7.853	1.599	6.907	32.26	10000
	d_Sc_pred[42,16]	7.878	6.747	1.337	5.474	25.58	10000
	d_Sc_pred[42,17]	6.403	5.712	1.093	5.236	22.1	10000
	d_Sc_pred[42,18]	4.803	4.187	0.789	3.434	15.59	10000
	d_Sc_pred[42,19]	7.228	6.607	1.139	4.512	27.22	10000
	d_Sc_pred[42,20]	6.938	6.075	1.102	4.627	27.94	10000
	d_Sc_pred[42,21]	5.572	5.046	0.8714	3.761	15.78	10000
	d_Sc_pred[42,22]	5.431	4.619	1.012	3.351	13.41	10000
	d_Sc_pred[42,23]	9.863	8.359	1.863	6.948	35.3	10000
	d_Sc_pred[42,24]	4.521	3.925	0.8402	2.91	14.8	10000
	d_Sc_pred[42,25]	4.869	4.15	0.8455	2.948	17.65	10000
	d_Sc_pred[43,1]	2.359	1.387	0.6571	2.026	5.82	10000
	d_Sc_pred[43,2]	4.353	2.732	1.227	3.67	10.06	10000
	d_Sc_pred[43,3]	2.251	1.318	0.6637	1.908	5.638	10000
	d_Sc_pred[43,4]	2.917	1.745	0.8275	2.478	7.597	10000
	d_Sc_pred[43,5]	1.862	1.152	0.5158	1.573	4.873	10000
	d_Sc_pred[43,6]	1.371	0.7982	0.4074	1.166	3.377	10000
	d_Sc_pred[43,7]	2.251	1.403	0.6091	1.904	5.631	10000
	d_Sc_pred[43,8]	4.129	2.449	1.173	3.545	10.09	10000
	d_Sc_pred[43,9]	0.7469	0.4399	0.2289	0.6418	1.849	10000
	d_Sc_pred[43,10]	3.982	2.468	1.187	3.402	10.13	10000
	d_Sc_pred[43,11]	2.009	0.8953	0.7389	1.848	4.176	10000
	d_Sc_pred[43,12]	5.168	2.958	1.477	4.419	12.59	10000
	d_Sc_pred[43,13]	3.206	1.954	0.9333	2.719	8.498	10000
	d_Sc_pred[43,14]	3.309	1.927	0.9508	2.865	8.137	10000
	d_Sc_pred[43,15]	5.547	3.266	1.673	4.781	13.78	10000
	d_Sc_pred[43,16]	4.776	2.899	1.327	4.073	11.72	10000
	d_Sc_pred[43,17]	3.805	2.24	1.115	3.213	9.438	10000
	d_Sc_pred[43,18]	2.94	1.804	0.8391	2.503	7.217	10000
	d_Sc_pred[43,19]	4.246	2.468	1.232	3.655	10.79	10000
	d_Sc_pred[43,20]	4.415	1.792	1.664	4.163	8.324	10000
	d_Sc_pred[43,21]	3.309	1.953	0.9258	2.869	8.276	10000
	d_Sc_pred[43,22]	3.323	1.942	0.9709	2.892	7.993	10000
	d_Sc_pred[43,23]	5.874	3.328	1.65	5.215	14.19	10000
	d_Sc_pred[43,24]	2.846	1.708	0.8091	2.437	6.883	10000
