"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nesc[12]","7159.11342","419.368335063472","6393","6869","7138","7427","8045.99999999999","1.00099728972871","1e+05"
"Nesc[13]","7552.48595","280.794886349947","7030","7358","7543","7737","8129","1.00099031216049","1e+05"
"Nesc[14]","10564.62801","639.659146039257","9399.99999999999","10120","10540","10970","11920","1.00118004903898","7800"
"Nesc[15]","13708.5824","623.247105713126","12550","13280","13690","14110","15000","1.00126392253386","5500"
"Nesc[16]","10553.08715","454.98558490759","9706.97499874437","10240","10540","10850","11500","1.00105426609655","23000"
"Nesc[17]","8902.98557","681.129148070275","7677","8423","8867","9341.00000000001","10340","1.00139197276904","3700"
"Nesc[18]","8221.30087","812.736917089538","6800","7648.00000000001","8165","8727","9968","1.00100360998079","99000"
"Nesc[19]","8625.25071","1323.14300247122","6430.99999999999","7685","8493","9418","11590","1.00107748450962","17000"
"Nesc[20]","10270.30902","562.4994086419","9244.97499868162","9878","10250","10630","11440","1.00143663881095","3400"
"Nesc[21]","6636.49969","515.463131060116","5714","6274","6608","6964.99999999999","7724","1.00099072615435","1e+05"
"Nesc[22]","9776.88951","376.46066666824","9075","9517.00000000001","9763","10020","10560","1.00126351960167","5500"
"Nesc[23]","6274.5032","451.577902355484","5468","5958","6248","6560","7238","1.00111059508805","12000"
"test[1]","0.25414","0.435378864837924","0","0","0","1","1","1.0010040180175","97000"
"test[2]","0.09416","0.292052644821911","0","0","0","0","1","1.00453712807765","1200"
"R2[1]","-0.02367011657677","0.0846782175046764","-0.2569025","-0.03962","0.0047395","0.02322","0.05108","1.00102332520151","43000"
"R2[2]","0.102287280939828","0.124152387122078","-0.1728","0.0230375","0.1144","0.1956","0.2874","1.009756103929","170"
