"Parameters","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"lambda[14]","267.478815","28.0606417901776","219","247.7","265","285.1","328.7","1.00095515801291","20000"
"lambda[15]","2166.96905","73.5075748496406","2030","2116","2165","2215","2318","1.00096115930068","20000"
"lambda[16]","1371.9197","104.601308900038","1186","1298","1366","1438","1592","1.00101088190536","20000"
"lambda[17]","2364.49395","78.834775381731","2214","2312","2362","2416","2526","1.0010389052731","17000"
"lambda[18]","1243.4474","62.8915169190966","1128","1199","1241","1285","1373","1.00102903250692","19000"
"lambda[19]","1233.4613","64.7271386856713","1115","1189","1231","1275","1368","1.00098215955534","20000"
"lambda[20]","847.42219","43.4597161858019","766.397499840963","817.67499885341","846","875.7","936.002499869801","1.00104119383882","16000"
"lambda[21]","1359.7329","70.6477870359763","1228","1311","1357","1405","1506","1.00096183303335","20000"
"lambda[22]","958.156615","52.6008917408476","861.497499858521","921.7","955.9","991.9","1068","1.00096450229048","20000"
"lambda[23]","2170.08415","117.21642228485","1953","2090","2164","2246","2415","1.00094947344671","20000"
"lambda[24]","3397.32505","182.629607597388","3066","3272","3387","3516","3779","1.00096593254839","20000"
"lambda[25]","1425.1252","125.176312377458","1202","1338","1416","1505","1693","1.00095795980563","20000"
"lambda[26]","1808.18415","100.974220117978","1619","1739","1804","1873","2017","1.0010936182344","10000"
"lambda[27]","1364.371","76.7676938753611","1225","1310","1360","1413","1526","1.00129616276897","4300"
"lambda[28]","1303.783865","104.257186942739","1118","1231","1298","1372","1524","1.0009531481052","20000"
"lambda[29]","1583.87595","118.486738148003","1370","1501","1578","1658","1837","1.00113933670945","7900"
"lambda[30]","2312.97865","128.216350228045","2078","2224","2308","2395","2583","1.00130083946769","4300"
"lambda[31]","2026.58245","257.631453049269","1587","1843","2005","2186","2595","1.00098653815328","20000"
"lambda[32]","1660.46715","99.993628582852","1478","1592","1656","1724","1870","1.00096316617522","20000"
"lambda[33]","2260.30595","301.324662402874","1743","2052","2237","2443","2907","1.00263000291119","890"
"Ntot[1]","751.8756","59.6961129884961","652","710","746","787","884.024986223492","1.00205274007311","1400"
"Ntot[2]","368.47065","41.9107869680434","307","338","362","391","470","1.00094871972408","20000"
"Ntot[3]","416.99975","37.7582300185563","357","390","412","439","503","1.00096294185262","20000"
"Ntot[4]","832.52485","79.6228401422049","703","776","824","879","1014","1.00108830467525","11000"
"Ntot[5]","821.00445","45.2033084757339","759","788","812","845","931","1.00099504616832","20000"
"Ntot[6]","202.6076","22.9963989345766","169","186","199","215","257","1.00104239705386","16000"
"Ntot[7]","678.1278","42.9242424707715","613","647","672","702","779","1.00167430833577","2100"
"Ntot[8]","230.53415","16.7527390742775","210","219","226","238","274","1.00096126020871","20000"
"Ntot[9]","606.72085","139.909200035202","418","508","579","675","954","1.00097027057031","20000"
"Ntot[10]","748.39505","45.2483807035712","676","716","742","775","851","1.00095510852213","20000"
"Ntot[11]","1012.0822","68.8208635424094","899","963","1005","1053","1167.02498956244","1.0010007255695","20000"
"Ntot[12]","492.4448","75.0558346957523","374","439","483","535","666","1.00100458372191","20000"
"Ntot[13]","1090.76925","122.165876698483","884","1004","1079","1165","1364","1.00131916157782","4100"
"Ntot[14]","265.5889","22.8970131338243","229","249","263","279","318","1.00099479029855","20000"
"Ntot[15]","2168.5599","56.7079738811491","2067","2128","2165","2205","2288","1.0009535199038","20000"
"Ntot[16]","1372.3659","97.751702731765","1201","1303","1365","1435","1581","1.00105586756167","14000"
"Ntot[17]","2366.10955","61.721178083286","2253","2323","2364","2407","2494","1.00094918058503","20000"
"Ntot[18]","1243.34675","52.2573378187723","1148.97498938687","1207","1241","1277","1353","1.00095659332928","20000"
"Ntot[19]","1233.16555","54.2264563532039","1136","1195","1230","1267","1348","1.00095266041522","20000"
"Ntot[20]","846.8554","32.3141532623873","789","824","845","867","916","1.00095507066391","20000"
"Ntot[21]","1360.1906","59.8790376225047","1251","1319","1357","1398","1487","1.00096713284793","20000"
"Ntot[22]","957.41995","42.4677779923306","883","928","955","984","1050","1.00116617569159","6900"
"Ntot[23]","2171.39885","108.12844471602","1973","2096","2166","2242","2398.02499491903","1.00096930175999","20000"
"Ntot[24]","3400.96965","173.445177766238","3088","3279","3392","3513","3763","1.0009512071917","20000"
"Ntot[25]","1424.84055","119.497818022435","1214","1341","1416","1500.24993752429","1681","1.00094852161076","20000"
"Ntot[26]","1809.12755","91.4811178371993","1640","1746","1804","1868","1997","1.00126418032771","4800"
"Ntot[27]","1364.75135","67.3548168785673","1246","1317","1360","1407","1512","1.00107466246948","12000"
"Ntot[28]","1303.88175","97.7835203282224","1130.97498921786","1235","1298","1367","1511","1.0009530990739","20000"
"Ntot[29]","1584.18105","111.642681691709","1386","1506","1576","1655","1823","1.00109685902805","10000"
"Ntot[30]","2315.222","119.086259462877","2099.97499419461","2233","2310","2392","2567","1.00149106740328","2800"
"Ntot[31]","2028.40405","254.580131482731","1596","1849","2008","2185","2595","1.00098485501886","20000"
