"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"overdisp_MC[12]";13.4353513333333;3.4107145753095;7.7699499937248;11.01;13.1;15.51;21.03;1.0010107265115;30000
"overdisp_MC[13]";5.59805823333333;1.42113622602291;3.23797499623534;4.586;5.459;6.461;8.762;1.00101086272207;30000
"overdisp_MC[14]";6.71766646666667;1.70535247472703;3.8849749968624;5.503;6.551;7.753;10.51;1.00101083782908;30000
"overdisp_MC[15]";13.4353513333333;3.4107145753095;7.7699499937248;11.01;13.1;15.51;21.03;1.0010107265115;30000
"overdisp_MC[16]";13.4353513333333;3.4107145753095;7.7699499937248;11.01;13.1;15.51;21.03;1.0010107265115;30000
"overdisp_MC[17]";23.5118301333333;5.96877598317303;13.5997499103426;19.26;22.93;27.14;36.8;1.0010108376911;30000
"overdisp_MC[18]";24.6314713333333;6.25297530901773;14.2497499144341;20.18;24.02;28.43;38.55;1.00101093050645;30000
"overdisp_MC[19]";23.5118301333333;5.96877598317303;13.5997499103426;19.26;22.93;27.14;36.8;1.0010108376911;30000
"overdisp_MC[20]";14.5549245333333;3.69497249359573;8.41792498696683;11.92;14.19;16.8;22.78;1.0010110489238;30000
"overdisp_MC[21]";20.153017;5.11607520612186;11.6597498954169;16.51;19.65;23.26;31.54;1.00101085973713;30000
"overdisp_MC[22]";12.3157248333333;3.12647460993468;7.12294999315471;10.09;12.01;14.21;19.28;1.00101073813153;30000
"overdisp_MC[23]";19.0333870333333;4.83184587756322;11.0097498892389;15.59;18.56;21.97;29.79;1.00101085086763;30000
"overdisp_MC[24]";17.9137766;4.54763343298693;10.36;14.67;17.47;20.68;28.04;1.00101080688195;30000
"overdisp_MC[25]";7.83728543333333;1.98959666114943;4.53294998924241;6.42;7.643;9.045;12.27;1.00101091056783;30000
"overdisp_MC[26]";12.3157248333333;3.12647460993468;7.12294999315471;10.09;12.01;14.21;19.28;1.00101073813153;30000
"overdisp_MC[27]";8.9568992;2.27382579414023;5.1799749976469;7.337;8.734;10.34;14.02;1.00101092099273;30000
"overdisp_MC[28]";13.4353513333333;3.4107145753095;7.7699499937248;11.01;13.1;15.51;21.03;1.0010107265115;30000
"overdisp_MC[29]";14.5549245333333;3.69497249359573;8.41792498696683;11.92;14.19;16.8;22.78;1.0010110489238;30000
